value,total_count
Simulator of the Human Intestinal Microbial Ecosystem,36
sand/perlite 1/3 mixture irrigated with nutrient solution without mineral N,36
Sand soil,36
siol,36
Rice seed in 120 days after transplanting,36
Unplanted amendment,36
tris_EDTA,36
Planted amendment,36
thermokarst soil,36
protist culture,36
Sprague-Dawley rats,36
temperate woodlands,36
winter wheat-summer maize,36
Water reservoir,36
temperaturenitrogen addition,36
Upland Grass/Shrubs,36
"Temperature , ph , Moisture content, NPK",36
wooded land under tree,36
uplift pond,36
replicate 5,36
Spruce budworm midgut,36
wild type,36
skin epithelium,36
upper nasal cavity,36
Suger maple – Basswood,36
See sample listed under 'sample_derived_from' for metadata.,36
plant shoots,36
Reef slope,36
skin of chest,36
PSAG,36
wetland mud,36
pond [ENVO:00000033]|acidic environment [ENVO:01000315]|dune [ENVO:00000170],36
Table olive fermenting brine,36
Vf-L,36
soil [ENVO:00002007],36
Vine Soil,36
Vine Bark,36
Tw-R,36
reclaimed soil,36
subpolar coniferous forest biome [ENVO:01000250] |soil [ENVO:00001998],36
recirculating freshwater aquaculture,36
Village biome (ENVO:01000246),36
Urine microbiota,36
wheat root,36
vase biome,36
tunnel,36
Sterilized root,36
Savannah Biome,36
Symbiotic roots,36
urban green corridor,36
sub-seafloor zone,36
savanna soil [ENVO:00005746],36
secundary_forest,36
Secondary_effluent_post_settlement,36
River-sediment- microorganism,36
River-Stormwater,36
production facility 2,36
Venous Peripheral blood,36
sage scrub,36
scallop farming areas,36
tidal river,36
tundra biome [ENVO:01000180]|polar desert biome [ENVO:01000186],36
wooded land grass patch,36
River-water- microorganism,36
Soil around maize straw,36
polymetallic nodule,36
Sweet potato field,36
post-agricultural soil,36
sterile water environment(ENVO:01001042),36
thirty_days_decomposition,36
premise tap,36
Tropical Moist Rainforest,36
rock galcier,36
Prairie [ENVO:00000260],36
Wastewater biofilm,36
RAS freshwater,36
woody root,36
TNP,36
titanium alloy (Ti-6A1-4V) coated carbon steel surface,36
Rodent,36
under the culture cage,36
unfertilized or long-term compost-amended agricultural soil mixed with quartz sand; 1 part sand to 2 parts soil by weight,36
water column biome,36
soybean rhizosphere,36
shallow marine sediment ENVO:03000034,36
TBI,36
polystyrene,35
polar environment [ENVO:01001703],35
water and sediment,35
"soil, fungus garden",35
Sink_room_11,35
Sink_room_10,35
soil_surface,35
Seagrass leaves,35
submarine groundwater discharge process [ENVO:01001630]|microbial feature [ENVO:01000007],35
pleural effusion [UBERON:0000175],35
soils used to inoculate seedlings,35
semi-arid succulent thicket (Albany Subtropical Thicket),35
settlement,35
polycyclic aromatic hydrocarbon (PAH) and heavy metal contaminated soil,35
saline evaporation pond,35
Primary_sludge,35
pot soil,35
temperate forest [ENVO:01000381],35
potted soil,35
pleural effusion material [ENVO:02000033],35
Subtidal seagrass meadows,35
upland red soil,35
"Winter grazing regime, more than 3 m from mountain birch",35
viral DNA,35
UBERON_0001264,35
sandy beach [ENVO:00002199],35
UBERON:0002553,35
PP,35
Temperate shrubland biome [ENVO_01000215],35
plastic ribbon (leaf mimic),35
Suburb,35
Poultry litter,35
Tapped_3,35
Thawed,35
Zn plant,35
Soda lakes,35
SIVmac251-Infected,35
Tropical Deciduous Forests,35
production facility 3,35
"['stool', 'stool']",35
"wheat residues, maize kernels, cover crop shoots",35
TBA Lavage,35
wooded tundra,35
University of Auckland,35
Seagrass seawater,35
wastewater treatment reactor,35
tallgrass,35
Unburned Upland Mixedwood,35
systemic or large cavities,35
woodrat feces,35
pleural fluid [UBERON:0001087],35
whole moskito,35
Sink_room_9,35
Rind,35
Gallus gallus gut microbiome,35
beach sand [ENVO:00002138],35
Beach surf zone,35
forested area [ENVO:00000111],35
http://purl.obolibrary.org/obo/ENVO_01001055,35
Distal Small Intestine,35
composting feces with ash,35
composting latrine chamber,35
needleleaf forest [ENVO:01000433],35
ENVO:tundra,35
14:40:00,35
lavage fluid,35
blade,35
beer,35
Cucumber rhizosphere,35
Groundwater bacteria,35
Cabbage field,35
braunerde soil,35
Mountain soil,35
Bee-gut,35
Colon mucosa,35
ENVO:01000421,35
cotton sampling bag filled with silica,35
Cleared rainforest,35
flowers,35
interior flesh rinsate,35
caries,35
green sea turtle,35
Kou Valley Bama village,35
axilla skin,35
forest biom,35
Mountain birch woodland,35
greenhouse soil[ENVO:00005780]|forest soil [ENVO:00002261]|surface soil[ENVO:02000059],35
7H10,35
Bedrail_room_6,35
fermented dairy food product [ENVO:00001053],35
Oscar trial,35
bank,35
anotomical entity,35
Nitrification_reactor,35
close to a large smelter and a fertilizer plant,35
Green house,35
lake inlet,35
Montane subtropical forests,35
inshore,35
meadow soil [ENVO:00005761],35
Mb,35
negative,35
Meat processing abattoir,35
Bicuspid,35
Foot,35
[ENVO:01000217] mediterranean shrubland biome,35
Endophyte,35
bare soil [ENVO:01001616],35
Mata Atlantica,35
biofilm[ENVO:00002034],35
Cattle farm,35
org_particles,35
[ENVO:00000300] scrubland area,35
Mangrove|Shark River Slough 4,35
in vitro intestine environment,35
perianal skin,35
ETAM plant,35
palsa mire,35
Corraline surface,35
pitcher plant fluid,35
Coastal Ocean,35
Insect gut content,35
pancreas resectate,35
Combined_sludge,35
Oais Bulk soil,35
Continuous corn,35
high salt environment,35
grapevine,35
OralCavity,35
food additive,35
Ice,35
Faculty of Medical and Health Sciences,35
dairy cow,35
Grape Juice,35
Contents of Distal Small Intestine,35
Contents of Colon,35
Contents of Cecum,35
fishing port,35
Mineral soil,35
fjord sediment biome,35
milk (raw),35
1056,35
Keyboard_room_8,35
Freshwater|Taylor Slough 02,35
Pearson Creek,35
Keyboard_room_7,35
Keyboard_room_6,35
estuarine biome [ENVO:01000020]|sea grass bed [ENVO:01000059],35
ENVO:UBERON:0001088,35
drinking water system-raw water,35
pig gut microbiome,35
N-R,35
oligo-mesotrophic lake,35
cyst fluid,35
cystitis,35
pH and salinity,35
Mixed layer surface ocean,35
NCIT:C173917,35
intraperitoneal fluid,35
Keyboard_room_10,35
large river delta,35
Aquifer groundwater,35
Homo sapiens vagina,35
No Data,35
lower jaw region,35
mineral material [ENVO:01000256],35
mine impacted water,35
[ENVO:03600011],35
goat milk,35
NCIT:C12424,35
http://purl.obolibrary.org/obo/ENVO_2100002,35
bronchial epithelium,34
oligotrophic water [ENVO:00002223]|||sea water [ENVO:00002149],34
00000447,34
2600m,34
2500m,34
honey bee gut,34
drinking water system-before chlorination,34
parkland,34
oak savanah,34
18S rDNA,34
nose skin,34
Broadleaf_forest,34
Pitcher Fluid,34
M medium,34
MONDO:0007254,34
health control,34
endometrium epithelium,34
colonic mucosa lavage,34
Mangrove|Shark River Slough 6,34
Abies balsamea,34
Luminal contents,34
Bedrail_room_10,34
laboratory strain,34
2700m,34
esophageal cancer oral,34
HEG8,34
DICOM: 111287,34
LRC,34
PCO:0000031,34
ammocoete,34
2900m,34
Apidae gut,34
Mouse fecal,34
feces and intestinal contents,34
cecal_content,34
MTB medium with sheep blood,34
marine virome,34
lakeside zone,34
Mangrove|Shark River Slough 5,34
ENVO_01000385,34
adult mosquito microbiome from Agriculture site (corn plantations),34
Animal litter,34
Antarctic,34
Cabbage,34
Cow vaginal microbiome,34
ENVO_00000111,34
peri-implantitis,34
Gut Bos taurus,34
inhalable air,34
Ph,34
dry land,34
Colon (metastatic) tumor,34
ENVO:01000474,34
canal [ENVO:00000014],34
face skin environment [ENVO:2100005],34
DNA mixture,34
Hydrothermal,34
[ENVO00000106]|[ENVO00001998],34
hot spring [ENVO:00000051]|microbial mat[ENVO:01000008],34
3100m,34
non-acidic hot spring microbial mat,34
ENVO:Temperate grasslands,34
Mueller Hinton,34
Hyporheic,34
Freshwater zone,34
Brine and surface sediment,34
laboratory blank,34
Forest-adjacent experimental field,34
Microcosm bottle,34
atmospheric aerosolisation of dust [ENVO:01001399],34
HEALTHY,34
2300m,34
muscle tissue,34
1F5,34
Intertidial zone,34
konnevesi,34
ENVO_00000020,34
large river,34
negative-control,34
FL_fraction,34
mushroom_compost,34
eutrophic water [ENVO:00002006],34
Mucoid,34
Anterior Nares,34
Nitrified urine,34
Ginseng field,34
Macaca mulatta,34
acid mine drainage [ENVO:00001997],34
3300m,34
Acid Mine Drainage [ENVO:00001997],34
Laboratory sterile medium Incubation,34
construction,34
inshore coral reef,34
High-vaginal swab samples and menstrual cups,34
Bilge_surface_below_water,34
microplastic biofilm,34
ENVO:01000894,34
FKLD,34
anaerobic condition,34
pinna surface epithelium,34
detritus,34
Feather,34
outdoor photobioreactor,34
mid-term abandoned agricultural land (grassland),34
phycosphere,34
detritus [ENVO:01001103],34
human_crc_tumour,34
Corn plant,34
ENVO:01000204,34
tropical shrubland,34
Supra_31L,34
Temperate_forest,34
pyhahakki,34
wetland freshwater,34
wetland/Aquatic biome,34
West Lake,34
Reagent_control,34
rearing water,34
reservoir [ENVO:00000377],34
rhizosphere[ENVO:00005801],34
root associated fungal community,34
RootSC,34
viscera,34
Vine Grapes,34
Salivary microbiome,34
Salmon,34
Uterine lining,34
urine [UBERON:0001088],34
Urine nitrification,34
seasonal tropical forest,34
Secondary Oak_Hickory Forest,34
Unknown biome,34
Sewage influent,34
Sink_room_6,34
Sink_room_7,34
Sink_room_8,34
sixty_days_decomposition,34
Small lake biome [ENVO:00000892],34
snow [ENVO:01000406],34
SouthShore influent,34
spruce,34
Spruce forest soil,34
Stem in 76 days after transplanting,34
Sterile enriched culture for lake sediment in United States,34
stool of cecal mouse tissue,34
Strained rumen fluid,34
Production tank,33
Supra_28L,33
Shallow Lake Water,33
Skimmed Milk Powder,33
Tn-R,33
Uncultivated field,33
Wooded Wetland,33
PO_0006001,33
Supra_05B,33
tree nursery,33
spermatophyte,33
Snow,33
VTO:0053695,33
Seagrass leaf,33
Temperate monsoon climate,33
Water-logged paddy soil,33
Rearing water,33
Vergata Rome University Collection,33
soil from a park,33
Terrestrial mud volcanoe biom,33
Tibetan_hulless_barley_field,33
Supra_05L,33
Supra_12B,33
zooplankton community,33
"terrestrial biome, ENVO_00000446",33
Supra_12L,33
Qiandaohu Lake,33
Shallow water rocky reef,33
Type2,33
raw,33
"surface layer [ENVO: 00010504], freshwater [ENVO: 00002011]",33
Soil NFGNB,33
sand filter bed planted,33
Trophosome,33
salsa lake of terrestrial mud volcano Karabetova Gora,33
Sugarpad solution,33
puddle of water,33
Sugar solution,33
Wooded Wetland Soil,33
upper estuary,33
Ra-L,33
Urban greenspace,33
tropical and subtropical forest,33
stream bank,33
walnut,33
River biome,33
process control sample,33
raw water metagenome,33
Tianjun,33
the tanks with different treatments,33
Uninvolved mesenteric adipose tissue,33
Supra_28B,33
water from sulfur tailings pond,33
bulk soil ENVO:00005802,33
Deep ocean,33
Metalliferous mine tailings,33
Intestine (UBERON:0000160)﻿,33
China rivers,33
animal proximal gut,33
gut containts,33
Leafy greens,33
Animal sample,33
organic layer,33
Fermented Grape Juice,33
mesophotic reef,33
Chicken caecum,33
marine sediment [ENVO:03000033] | anaerobic sediment [ENVO:00002045],33
fertilized meadow,33
acidic wastewater,33
freswater lake,33
gas-fed thermophilic stirred tank,33
dust|||cement,33
Freshwater tidal wetland,33
Lotic,33
excavated waste rocks from during tunnel-drilling projects naturally contain potentially toxic metals,33
Freshwater|Taylor Slough 01,33
Nectar,33
NCIT:C15222,33
dust|||tiles,33
particulate organic carbon (ENVO:04000013),33
mediterranean forest biome [ENVO:01000199],33
arid biome [ENVO01001838],33
estuarine agri,33
broadleaf forest,33
Experimental evolution,33
Initial state of the tank,33
Offshore aquaculture area,33
cold area,33
lumen of intestine (UBERON:0018543),33
Organic feature,33
ENVO:02500044,33
macroalgae beds,33
east Flower Garden Bank,33
FL,33
area of cropland [ ENVO:01000892 ]| environment associated with an animal part or small animal [ENVO:01001055],33
BG11.0,33
cropping system,33
Air [ENVO:00002005],33
bulk culture,33
pitcher plants,33
Model bacteria,33
leaf (PO:0025034),33
ENVO:01001564,33
Grass clippings,33
food biome,33
grass digestate / digestate liquor,33
"hospital surface, water, air",33
area located near the southeast coast,33
melt pond,33
ENVO_00002297,33
Ocean surface,33
Atopic Dermatitis,33
open pus,33
farm soil ENVO:00005749,33
"man-made tunnel, ENVO:00000066",33
GVH,33
mid altitude semi temperate,33
13,33
Alfalfa farmland,33
bumblebee reared indoors,33
Fecal fermentation,33
Amazonian flooded-forest,33
Greenhouse-Mesocosm,33
Closed-crown forest,33
greenhouse soil ENVO:00005780,33
filter,33
Burned Wetland Treed Wetland,33
marine water body [ENVO_00001999],33
Hydrothermal vent biome,33
Invitro,33
intensive_care_center_of_hospital,33
ENVO:01000420,33
hydroelectric reservoir [ENVO:00000448]|lake with an anoxic hypolimnion [ENVO:01001073]|freshwater lake [ENVO:00000021],33
environmental system determined by an organism [ENVO:01001000]| anthropogenic terrestrial biome [ENVO:01000219],33
cacao fermentation,33
Cacao pod,33
L1 medium,33
humid subtropical,33
backwater and oxbow lakes,33
ENVO:01000340,33
12,33
indirect,33
incipient queen,33
Mixed sample of sediment and water,33
mice faeces,33
estuarine [ENVO:01000020],33
ENVO:00000070,33
piglet gut,33
A,33
aquatic[ENVO:00002030],32
macroalgae microbiome,32
aquifer [ENVO:00012408],32
greenhouse soil[ENVO:00005780]|soil [ENVO:00001998]|glacial process [ENVO:01001655],32
Norkotah,32
NOAA station WE12,32
Pantanal - Wet Savannah,32
cane,32
lake bottom,32
Gossypium hirsutum L.,32
Mudflat,32
Invertebrate,32
Ac/Pc/Ic,32
marine photic zone [ENVO:00000209]|intertidal zone [ENVO:00000316],32
kuopio,32
Arid,32
Lymphnode,32
in a continuously-cropped Chinese fir plantation,32
Animal proximal gut,32
environmental_samples,32
Fecal matter of mouse,32
ENVO_01000129,32
archaeological trench,32
coral hoast tissue,32
cow slurry liquid digestate,32
Laimosphere,32
ENVO:03600015,32
Magellan Strait,32
lagoon water,32
aquatic biome [ENVO:00002030]|freshwater biome [ENVO:00000873]|small lake biome [ENVO:00000892],32
oceanic crust [ENVO:01000749]|Silicates [OMIT:0017964],32
low_salinity_experimental_plot,32
mountain steppe,32
"old growth deciduous forest, nature reserve",32
Coastal scrub/ sand dunes,32
NPK+PM,32
agriculture [01001442],32
female urethra [UBERON:0001334],32
drainage ditch network,32
oligo-mesotrophic lake sediment,32
aquatic bacteria,32
Microbial community from a deep aquifer incubated in a pressurized reactor,32
hadal marine zone,32
organic soil fertilized with blood meal,32
human sputum sample,32
growing medium fertilized with fish effluent fertilizer,32
mine water,32
Biomat,32
oil-field,32
duodenum [UBERON:0002114],32
dairy_metagenome,32
digit skin,32
labotory conditions,32
organic soil fertilized with malt sprouts,32
placebo_lumen,32
animal litter [ENVO:00002191],32
Colon tumor,32
hadal marine sediment,32
Animal housing facility,32
misc environment,32
agricultural field biome [ENVO_00000114],32
nectar,32
Laboratory fly culture,32
fynbos,32
Mesophilic biogas reactor operated on an artificial medium,32
flour,32
methane clathrate [ENVO:01000851],32
composting,32
cervical mucus,32
ENVO:00000367,32
leptosoil,32
OceanWater,32
Maize Endophytic Compartment,32
Hot spring ferrous mat,32
farm ENVO:[00000078],32
marine decomposition,32
pine oak forest,32
ENVO:00000195,32
cold seep biome [ENVO:01000263],32
pine-oak biome,32
Perennial (sown) flower field,32
organic material[ENVO:01000155],32
glassroom,32
lab scale moving bed biofilm reactor,32
fungal sporocarp,32
Hot Springs,32
Marine metagenome,32
liquid water[ENVO:00002006],32
Maize Rhizosphere,32
granular sediment [ENVO:01000117]|volcanic soil[ENVO:00005785],32
marine_sediments,32
partial SSU rDNA,32
Human_urine,32
lakeside,32
luvisoil,32
lab experiment,32
Irano - turanian,32
Beekeeping,32
NPK+CM,32
microbialite,32
Culture Media,32
isojarvi,32
agricultural enviromental material,32
Birch stand,32
Mixed bacterial culture,32
Formation Water,32
Phoebe bournei plantation of subtropical China,32
ENVO_Tropical_and_subtropical_grasslands__savannas__and_shrubland_biome,32
"Norwegian transgenic centre, University of Oslo",32
growing medium fertilized with organic fertilizer,32
Fly body,32
ENVO:00003861,32
Amazon secondary forest,32
leivonmaki,32
lower urinary tract [UBERON:0001556],32
permafrost [ENVO_00000134],32
Livestock-grazed pasture,32
Parotid gland,32
not collected.,32
Montane Freshwater,32
Human_wound,32
nearshore inlet,32
"Hospital ""IMIEM""",32
Mobile Bay,32
leaf powder,32
meadow soil|Leptosol,32
open cage aquaculture system,32
deep brine pool marine sediment,32
marine abyssal zone biome [ENVO:01000027]|polar biome [ENVO_01000339],32
Chaohu Lake,32
gold mine | paddy field,32
aquaculture biome,32
domestic cow,32
methane concentration,32
Chicken Farm,32
HEG9,32
Mineral Soil,32
Kashmir Himalaya experimental site,32
desert steppe,32
lymphatic tissue,32
Epithel,32
Oral Mucosal,32
PCR control,32
growth camber,32
fecal environment [ENVO_01001029],32
Apical wash,32
marine ultramafic hydrothermal vent biome,32
karst spring biome,32
Compost tea,32
Bronchoalveolar Lavage Fluid,32
Bat gut microbiome,32
Canis familiaris,32
mucosa biopsy,32
liquid nitrogen,32
Colon NAT,32
Fresh Water,32
Diospyros kaki orchard,32
GUT MICROBIOTA,32
ascidian,32
oilfield biome,32
environment associated with an animal part or small animal [ENVO:01001055 ],32
Microcosms of estuarine sediment,32
Amazon forest,32
oceanic epipelagic zone biome (ENVO:01000035),32
Piglet feces,32
mosquito gut,32
canine fecal,32
lichen thallus,32
marine biome [ENVO:0000000447]|ocean biome [ENVO:01000048],32
ENVO:00002138,32
ENVO_01000053,32
Groundwater aquifer,32
Patrolling,32
mikkeli,32
coniferous forest [ENVO_01000196],32
microcosm experiment,32
skin from ulcerative lesion of bovine foot infected with digital dermatitis,32
wetland bacteria and archaea,32
temperate shrubland biome [ENVO:01000215],32
Stethoscope,32
savanna[ENVO:00000261],32
Soil layer [ENVO:00002411],32
plant material [ENVO:01001121],32
"Sandy beach, seaward direction = 265°",32
wasp gut microbiome,32
Thau lagoon,32
"valley, stream",32
tarmac,32
River freshwater eukaryoplankton,32
pond [ENVO:00000033]|epilimnion [ENVO:00002131],32
River freshwater bacterioplankton,32
stem powder,32
PT_South_I,32
polyurethane sponge,32
Sandy clay loam,32
tobacco farmland,32
water channel,32
Tropical rain forest,32
Portugal,32
regosol,32
seasonal frozen wetland,32
water swab,32
urban biome [ENVO:01000249]| agricultural field [ENVO_00000114],32
Rice field,32
UBERON:feces,32
saltmarsh,32
Polar/Arctic,32
saliva/feces,32
Wastewater treatment bioreactor,32
Soil environemnt [ENVO:01001044],32
University of Texas at Dallas,32
Supra_21B,32
unmanaged beech forest,32
plastic floated in the river,32
salivary microbiome | oral health,32
"water, plant",32
superfood_mucosa,32
sclerophyll forest,32
poplar leaf biome,32
Rain,32
volcano [ENVO:00000247]|sediment [ENVO:00002007],32
Wild,32
Supra_21L,32
WB,32
sub-terrestrial biome,32
wetland fungi,32
Soil biome [ENVO:01000219],32
tunic,32
Tap water [ENVO:00003096],32
thrombolite,32
Reduced methanogenic lake sediments,32
Pre Housing Switch,32
Yinggeling,32
Polar microbiome,32
stream channel [ENVO:01000650],32
rhizoshere,32
root/rhizosphere,32
Veal,32
root [PO:009005],32
plant surface-associated microbiome,32
poplar stem biome,32
Subcutaneous mammary gland,32
river water [ENVO:01000599]|cobble [ENVO:00002140],32
Whitepox outbreak in Acropora palmata in the Florida Keys,32
sagebrush shrubland,32
ropy,31
soil metagenom,31
Plant corpus [ENVO:01001057],31
soil replicate 2,31
soil|vegetation,31
west Flower Garden Bank,31
soil fertilized with sterilized soil,31
Small intestine contents (SNOMEDCT:26856001),31
Secondary_sludge,31
surgical ICU room,31
shortline,31
surface soil and vegetation layer,31
Terrestial biome [ENVO:00000446],31
Refference area,31
Whole-Body,31
urban biome_,31
temperate evergreen forest,31
Reagents,31
soil biome|vegetation biome,31
Q2,31
valley [ENVO:00000100],31
Terrarium soil,31
soil replicate 3,31
soil replicate 1,31
style,31
Tapped_2,31
stamina,31
tap water|freshwater environment [ENVO:01000306]|hot water,31
subtropical forest [ENVO:01001804],31
Rhizosphere soil[ENVO:01000999],31
"Sealed Balch tube, nonshaken",31
temperate woodland biome [ENVO_01000221],31
subseaflor sediment,31
upper,31
laboratory reagents,31
ENVO:01001468,31
HCA2 deficient,31
C57BL/6J male mice,31
anthropized area,31
Deep sea water,31
Forest edge,31
ENVO:04000007 Lake Water,31
ENVO:00000077(agricultural feature),31
ant cuticle,31
11,31
NoPlantSoil,31
coral rubble | sandy bottom,31
live_animal,31
Industrial watershed,31
larval rearing tank,31
ENVO:01001183,31
drinking water outlet,31
Cervicovaginal,31
marine oxygen minimum zone,31
Ic-L,31
Aluminum 2,31
organic feature ENVO:01000159,31
ant laterocervical plates of the propleura,31
mineral medium,31
ENVO:03501357,31
ENVO:00005775,31
disturbed field,31
BIOLOGICAL SAMPLE,31
"fertilizer [CHEBI:33287],soil environment [ENVO:01001044]",31
Broadleaf and mixed forests,31
Alpine meadoow,31
marine sediment incubated with crude oil,31
anaerobic digester and bioelectrochemcial systems,31
Culture medium,31
Drinking water treatment plant,31
Indian River [19186],31
device[OBI:0000968],31
FOODON:00001241,31
ENVO_2000003,31
Fermented yak milk,31
area of deciduous forest_,31
1 liter tap water,31
high nitrogen rate,31
Colonic contents (SNOMEDCT:21677002),31
MEDITERRANEAN,31
Meadoow,31
microorganism,31
marine cold seep biome [ENVO:01000127],31
metagenome (16S),31
marine snow,31
area designated as a nature reserve [ENVO:00000363],31
ENVO:00000020 Lake,31
ENVO_01000134,31
Acromyrmex echinatior leafcutter ant colony,31
ENVO_00000038,31
Jejunal microbiome,31
IncubatorHandle,31
natural area,31
household P,31
Oral microbiome | oral health,31
fjord [ENVO:00000039]|microcosm [ENVO:01000621],31
454SMO carbon steel surface,31
deposits,31
BTO:0001481,31
GD,31
Nematostella-associated,31
lake epilimnion biome,31
fish gastrointestinal tract,31
Mountaintop,31
deposits formed on impervious surfaces,31
Human gastric,31
Dolphin respiratory sample,31
Coastal waters,31
ENVO:01000145,31
Marine biome|Ocean biome|Sediment biome,31
lingual,31
crown gall,31
PDO1 cheese,31
fecal material (ENVO_00002003),31
five cells,31
jyvaskyla,31
Mangrove|Taylor Slough 06,31
ENVO:00000434,31
fresh water body,31
digestate in sterilized soil,31
ENVO:freshwater biome,31
bacterial cells,31
Hot Spring,31
Non-organic chickens,31
ENVO:00002100,31
adult cephalopod tissue,31
patch reef with seagrass interspersed among coral,31
pen,31
PCR water,31
Middle small intestine,31
external naris,31
multi-species collection of organisms [PCO:0000029],31
BTO:0000486,31
digestate fertilized soil,31
ENVO_00005778,31
disturbed ecosystem [ENVO:01000445]|mine[ENVO:00000076],31
placebo_mucosa,31
croppland biome,31
FOODON_03305663:orange juice (pasteurized),31
greenhouse soil[ENVO:00005780]|mine tailings [ENVO:00000003],31
insulaltion treatment (warming),31
Insulation treatment (warming),31
Contaminated soil,31
continental margin|subsurface sediments,31
Bedrail_room_11,31
feed digesta,31
Adriatic Sea,31
exposed with PBAT microplastic,30
"bronchoalveolar lavage A, ITS sequencing",30
Keyboard,30
inland | temperate zone,30
mock bacterial community,30
Piglet fecal microbioma,30
high hydrocarbon contamination,30
missing',30
258457009,30
Lymphoid tissue,30
gill microbiome,30
ileal digesta,30
ENVO: water-associated habitat,30
Extraction,30
Constructed Biome,30
glasshouse microcosm experiement,30
artificial lake,30
PDA with bilirubin (1 g/L),30
Peel surface,30
CRP,30
lower back,30
low density polyethylene (LPDE),30
Bioreactor with synthetic wastewater and phenol,30
Id-R,30
Lotus Pond hot spring water,30
ENVO:0100999,30
plankton biome,30
digestive tract environment [ENVO:2100002],30
Freshwater|Taylor Slough 03,30
Lotus Pond hot spring vent-water,30
Anal,30
ENVO_01001830,30
F/2,30
ocean biom,30
Cropping systems experiment,30
edge of forest,30
Ewes' milk cheese,30
Oak_age-class_mature_timber,30
60 days,30
deep seawater,30
Artimisia_rhizosphere_microbiome,30
mock sample,30
cell_free_DNA,30
Coast Range,30
ENVO:01001802,30
Ice cave sediment,30
Insect feed,30
infiltration basin,30
driught soil,30
anthropogenic terrestrial biome(ENVO:01000219),30
Hive_metagenome,30
large freshwater lake biome,30
anthropogenic terrestrial biome [ENVO:00002173],30
pelagic seawater,30
Oral swab sample,30
area of developed space [ENVO:01001269],30
Longleaf pine,30
400ppm CO2,30
air microbiome,30
Ceacal Microbes,30
OCT,30
faecal string of shrimp,30
Fuyi Ranch,30
Ceacal Content,30
Anthidium florentinum,30
Biogas reactor material,30
Leave tissue,30
Forest_soil,30
faeces of diseased shrimp,30
peanut growth chamber,30
aquarium gravel biofilm,30
Mangrove-estuarine,30
fallow bulk soil,30
blood_mononuclear_cells,30
Cover Crop,30
An environmental system which has its properties and dynamics determined by feces.,30
AL,30
abyssal plain,30
mixed Nothofagus pumilio - Nothofagus betuloides forest,30
local-scale environmental context,30
20 degrees Celsius,30
biological waste material [ENVO:01000373 ],30
before the disinfection unit at the MWWTP,30
20 days,30
Colonic mucosa,30
Cecummicrobiota,30
farming biom,30
Drosophila melanogaster,30
gallon pots with field soil,30
hypersaline,30
Human Gut ACF with Polyp,30
AnMBR sludge for treating organic solid waste,30
1/10 R2A media,30
alpine sky island,30
Kombucha,30
Marine sediment [ENVO:03000033]|Bay [ENVO:00000032],30
ocean|||marine bathyal zone biome,30
Alcohol,30
Before surgery,30
cattle excrements,30
Grassland/Savanna,30
lake sediment [ENVO:00000546]|microcosm [ENVO:01000621],30
peripheral,30
Piglet microbioma,30
Manufactured Product,30
Endophytic bacteria of Spartina alterniflora,30
Montane Cordillera,30
area designated for human defecation[ENVO:01001263],30
oceanic zone [ENVO:00000207],30
fastidious anaerobic agar,30
bare sand,30
area of polar tundra,30
Museum Specimen of the same name,30
mariculture wastewater,30
6 hours extracellular,30
Endotracheal aspirate,30
Bulk_soil_microbiome,30
bare land,30
Normotensive,30
hydrothermal vent symbiosis,30
filter 3,30
71h,30
desert steppe soil,30
desert steppe biome,30
bulk water,30
Lake Maggiore,30
ENVO:grassland biome,30
ENVO_00000023,30
Green,30
NAST,30
FOODON:00001010,30
human saliva from AgP patients,30
FOODON:00001050,30
Jensen medium,30
Flemish Cap,30
animal_microbiome,30
motor vehicle,30
marine salt marsh biome[ENVO:01000022],30
Litter1 layer,30
Horse rectum,30
medium hydrocarbon contamination,30
intestine environment (ENV:2100002),30
Guanyuan Ranch,30
Korea,30
Litter2 layer,30
COVOC:0010005,30
Green_Saw,30
intestine/anterior midgut,30
Balsam fir-white birch,30
CSTR Reactor,30
grit chamber,30
ENVO:01000480 (glass),30
intestine/posterior midgut,30
Patient sample,30
1945m,30
Pacific Maritime,30
Fecal microorganism,30
Fish intestine,30
abrupt collapse and thermal erosion,30
P2,30
Gingival sulcus,30
OBI:0002533,30
No collected,30
hydrocarbon,30
Alley cropping,30
Fragmented Litter2 layer,30
Dermasterias imbricata dermal tissue,30
Fragmented Litter1 layer,30
Animal fecal microbiome,30
ENVO_01000367,30
marine bottom,30
helvetinjarvi,30
ENVO:01000358|ENVO:00002012,30
Humus2 layer,30
Humus1 layer,30
marine brine pool,30
chicken thigh,30
alpine garden,30
formula,30
EnvO:01000349|EnvO:00005749,30
Animal gut microbiome,30
Add terms that identify the material displaced by the entity at time of sampling. Recommend subclasses of environmental material [ENVO:00010483]. Multiple terms can be separated by pipes e.g.: estuarine water [ENVO:01000301]|estuarine mud [ENVO:00002160],30
Artificial breeding base,30
Human Vagina Microfluidic Device,30
cambisol [ENVO:00002235]|bulk soil[ENVO:00005802],30
Beijing-you chicken,30
No Cover Crop,30
anaerobic digestor,30
oxygen-depleted mid water,30
ENVO:00010438,30
lab stock,30
oxygen concentration and microbial incubation and biochar adding,30
ENVO:00000374,30
biological replicate 2,30
groundwater | freshwater,30
oxygen concentration and microbial incubation adding,30
biological replicate 1,30
FOODON:03400845,30
oxygen concentration,30
cheese food product,30
