raw_text,portion_parsed,normalized_curie,normalized_label,count
healthy buccal mucosa,healthy buccal mucosa,,healthy buccal mucosa,21
"new ice [ENVO: 03000063], freshwater ice [ENVO: 01001511]","new ice [ENVO: 03000063], freshwater ice [ENVO: 01001511]",,"new ice ENVO: 03000063, freshwater ice ENVO: 01001511",21
ocean sediment,ocean sediment,,ocean sediment,21
manipulated microcosm,manipulated microcosm,,manipulated microcosm,21
manufactured plastic,manufactured plastic,,manufactured plastic,21
endophytic,endophytic,,endophytic,21
permafrost [ENVO:00000134],permafrost [ENVO:00000134],ENVO:00000134,permafrost,21
pig stomach,pig stomach,,pig stomach,21
aquaculture farm,aquaculture farm,,aquaculture farm,21
Grassland|woodland|forest habitat|,Grassland,,Grassland,21
Grassland|woodland|forest habitat|,woodland,,woodland,21
Grassland|woodland|forest habitat|,forest habitat,,forest habitat,21
ENVO:01000910,ENVO:01000910,ENVO:01000910,,21
Marine/Arctic,Marine/Arctic,,Marine/Arctic,21
apple tree,apple tree,,apple tree,21
cloud forest,cloud forest,,cloud forest,21
enterocytes,enterocytes,,enterocytes,21
closest to basin,closest to basin,,closest to basin,21
BuriedTurfDistal,BuriedTurfDistal,,BuriedTurfDistal,21
oceanic epipelagic zone biome [ENVO:01000035]|polar biome [ENVO_01000339],oceanic epipelagic zone biome [ENVO:01000035],ENVO:01000035,oceanic epipelagic zone biome,21
oceanic epipelagic zone biome [ENVO:01000035]|polar biome [ENVO_01000339],polar biome [ENVO_01000339],ENVO:01000339,polar biome,21
Nitrifying biofilm,Nitrifying biofilm,,Nitrifying biofilm,21
Nitrifying MBBR,Nitrifying MBBR,,Nitrifying MBBR,21
enviromental control,enviromental control,,enviromental control,21
microcosm mica schist surface,microcosm mica schist surface,,microcosm mica schist surface,21
ENVO:00002226,ENVO:00002226,ENVO:00002226,,21
ENVO:01000722,ENVO:01000722,ENVO:01000722,,21
Clear water,Clear water,,Clear water,21
hydroponic greenhouse,hydroponic greenhouse,,hydroponic greenhouse,21
[ENVO_01000414],[ENVO_01000414],ENVO:01000414,,21
hummock,hummock,,hummock,21
C.lanceolata-C.hystrix mixed forest,C.lanceolata-C.hystrix mixed forest,,C.lanceolata-C.hystrix mixed forest,21
apiary-biome,apiary-biome,,apiary-biome,21
Noctuidae,Noctuidae,,Noctuidae,21
No enviromental package,No enviromental package,,No enviromental package,21
city environment [SNOMED:288520005]|residential environment [ENVO:03501323]|outdoor environment [ENVO:03501101],city environment [SNOMED:288520005],,city environment SNOMED:288520005,21
city environment [SNOMED:288520005]|residential environment [ENVO:03501323]|outdoor environment [ENVO:03501101],residential environment [ENVO:03501323],ENVO:03501323,residential environment,21
city environment [SNOMED:288520005]|residential environment [ENVO:03501323]|outdoor environment [ENVO:03501101],outdoor environment [ENVO:03501101],ENVO:03501101,outdoor environment,21
city environment [SNOMED:288520005]|residential building [ENVO:01000933]|domestic (environment) [SNOMED:261770009],city environment [SNOMED:288520005],,city environment SNOMED:288520005,21
city environment [SNOMED:288520005]|residential building [ENVO:01000933]|domestic (environment) [SNOMED:261770009],residential building [ENVO:01000933],ENVO:01000933,residential building,21
city environment [SNOMED:288520005]|residential building [ENVO:01000933]|domestic (environment) [SNOMED:261770009],domestic (environment) [SNOMED:261770009],,domestic environment SNOMED:261770009,21
citrus infected tissue,citrus infected tissue,,citrus infected tissue,21
microalgae [ENVO:01000059],microalgae [ENVO:01000059],ENVO:01000059,microalgae,21
Non,Non,,Non,21
[ENVO:00000020],[ENVO:00000020],ENVO:00000020,,21
Human sample biome,Human sample biome,,Human sample biome,21
ocean current,ocean current,,ocean current,21
human respiratory metagenome,human respiratory metagenome,,human respiratory metagenome,21
[ENVO:01000245],[ENVO:01000245],ENVO:01000245,,21
Chopped heath,Chopped heath,,Chopped heath,21
methane clathrate[ENVO:01000851],methane clathrate[ENVO:01000851],ENVO:01000851,methane clathrate,21
metazoan-associated habitat,metazoan-associated habitat,,metazoan-associated habitat,21
Chlorinated water,Chlorinated water,,Chlorinated water,21
ENVO_00000116,ENVO_00000116,ENVO:00000116,,21
ENVO:00000176,ENVO:00000176,ENVO:00000176,,21
[ENVO:01000057],[ENVO:01000057],ENVO:01000057,,21
Anoxic,Anoxic,,Anoxic,21
Chicken meat,Chicken meat,,Chicken meat,21
human gut [UBERON:0004907],human gut [UBERON:0004907],,human gut UBERON:0004907,21
marine sediment[ENVO_03000033],marine sediment[ENVO_03000033],ENVO:03000033,marine sediment,21
ENVO:0010130,ENVO:0010130,ENVO:0010130,,21
ENVO:00010483),ENVO:00010483),ENVO:00010483,,21
carbon dioxide-reducing sediment,carbon dioxide-reducing sediment,,carbon dioxide-reducing sediment,21
[ENVO：00000428],[ENVO：00000428],,ENVO：00000428,21
North Carolina,North Carolina,,North Carolina,21
North China Plain,North China Plain,,North China Plain,21
human common bile duct,human common bile duct,,human common bile duct,21
Pigeon excreta,Pigeon excreta,,Pigeon excreta,21
meltwater,meltwater,,meltwater,21
Haba Snow Mountain,Haba Snow Mountain,,Haba Snow Mountain,21
hind gut,hind gut,,hind gut,21
nunatak_polygon,nunatak_polygon,,nunatak_polygon,21
NoTurfBasal,NoTurfBasal,,NoTurfBasal,21
Honeybee,Honeybee,,Honeybee,21
household O,household O,,household O,21
Cultivated environment,Cultivated environment,,Cultivated environment,21
organic horizon,organic horizon,,organic horizon,21
culture ponds,culture ponds,,culture ponds,21
LegSkin,LegSkin,,LegSkin,20
Lowland evergreen forest,Lowland evergreen forest,,Lowland evergreen forest,20
mammal microbiome,mammal microbiome,,mammal microbiome,20
Mock community (single adult males),Mock community (single adult males),,Mock community single adult males,20
distilled water [ENVO_00003065],distilled water [ENVO_00003065],ENVO:00003065,distilled water,20
Groundwater|distal well,Groundwater,,Groundwater,20
Groundwater|distal well,distal well,,distal well,20
humic lake,humic lake,,humic lake,20
Apical medium,Apical medium,,Apical medium,20
Apical surface Calu-3,Apical surface Calu-3,,Apical surface Calu-3,20
early time series of decomposition,early time series of decomposition,,early time series of decomposition,20
clastic sedimentary rock [ENVO:01000271],clastic sedimentary rock [ENVO:01000271],ENVO:01000271,clastic sedimentary rock,20
Outbred/ccHan:wist rat gut,Outbred/ccHan:wist rat gut,,Outbred/ccHan:wist rat gut,20
Environment associated with a plant part or small plant,Environment associated with a plant part or small plant,,Environment associated with a plant part or small plant,20
muscle,muscle,,muscle,20
Food Packaging,Food Packaging,,Food Packaging,20
ENVO_00002012,ENVO_00002012,ENVO:00002012,,20
Lui,Lui,,Lui,20
natural_site_Cologne,natural_site_Cologne,,natural_site_Cologne,20
ENVO:00003859|ENVO:01001121,ENVO:00003859,ENVO:00003859,,20
ENVO:00003859|ENVO:01001121,ENVO:01001121,ENVO:01001121,,20
inner lake,inner lake,,inner lake,20
monkey-associated habitat,monkey-associated habitat,,monkey-associated habitat,20
excreta material[ENVO:02000022],excreta material[ENVO:02000022],ENVO:02000022,excreta material,20
Monkey gut,Monkey gut,,Monkey gut,20
Hydra vulgaris,Hydra vulgaris,,Hydra vulgaris,20
"['Desert', 'not collected']","['Desert', 'not collected']",,"'Desert', 'not collected'",20
Cooked peeled shrimps,Cooked peeled shrimps,,Cooked peeled shrimps,20
LPA,LPA,,LPA,20
ground-water,ground-water,,ground-water,20
ENVO:09200008,ENVO:09200008,ENVO:09200008,,20
7.6 N deposition (kg N ha-1 y-1) ENVO:01001330,7.6 N deposition (kg N ha-1 y-1) ENVO:01001330,ENVO:01001330,7.6 N deposition (kg N ha-1 y-1),20
Environmental soil,Environmental soil,,Environmental soil,20
ground veal,ground veal,,ground veal,20
Ground beef,Ground beef,,Ground beef,20
"back-arc basin (ENVO:00002277), active submarine volcano (ENVO:00000264)","back-arc basin (ENVO:00002277), active submarine volcano (ENVO:00000264)",ENVO:00002277,"back-arc basin, active submarine volcano (ENVO:00000264)",20
"back-arc basin (ENVO:00002277), active submarine volcano (ENVO:00000264)","back-arc basin (ENVO:00002277), active submarine volcano (ENVO:00000264)",ENVO:00000264,"back-arc basin (ENVO:00002277), active submarine volcano",20
inpatient ward,inpatient ward,,inpatient ward,20
coelomic fluid of Asterias amurensis,coelomic fluid of Asterias amurensis,,coelomic fluid of Asterias amurensis,20
Cardwellia sulimis,Cardwellia sulimis,,Cardwellia sulimis,20
moose rumen,moose rumen,,moose rumen,20
aggregate sample from 4 points,aggregate sample from 4 points,,aggregate sample from 4 points,20
Cod fillet,Cod fillet,,Cod fillet,20
Hydrothermal diffuse fluids|Current tidal seawater,Hydrothermal diffuse fluids,,Hydrothermal diffuse fluids,20
Hydrothermal diffuse fluids|Current tidal seawater,Current tidal seawater,,Current tidal seawater,20
17,17,,17,20
bare soil,bare soil,,bare soil,20
blood and spinal fluid,blood and spinal fluid,,blood and spinal fluid,20
Greenland Ice Sheet,Greenland Ice Sheet,,Greenland Ice Sheet,20
marine tidal flow zone[ENVO:01001341]|estuarine mud[ENVO:00002160]|algal material[ENVO:01001189],marine tidal flow zone[ENVO:01001341],ENVO:01001341,marine tidal flow zone,20
marine tidal flow zone[ENVO:01001341]|estuarine mud[ENVO:00002160]|algal material[ENVO:01001189],estuarine mud[ENVO:00002160],ENVO:00002160,estuarine mud,20
marine tidal flow zone[ENVO:01001341]|estuarine mud[ENVO:00002160]|algal material[ENVO:01001189],algal material[ENVO:01001189],ENVO:01001189,algal material,20
Freshwater lake [ENVO:00000021],Freshwater lake [ENVO:00000021],ENVO:00000021,Freshwater lake,20
buffer only,buffer only,,buffer only,20
Isthmian-Atlantic moist forests,Isthmian-Atlantic moist forests,,Isthmian-Atlantic moist forests,20
environmental community,environmental community,,environmental community,20
Lab/synthetic,Lab/synthetic,,Lab/synthetic,20
enviromental system determined by a organism,enviromental system determined by a organism,,enviromental system determined by a organism,20
acidic-pit-lake,acidic-pit-lake,,acidic-pit-lake,20
Cockroach gut,Cockroach gut,,Cockroach gut,20
flax-retting,flax-retting,,flax-retting,20
Lab Incubator; NA,Lab Incubator; NA,,Lab Incubator; NA,20
heat stress,heat stress,,heat stress,20
drinking water system-DS1,drinking water system-DS1,,drinking water system-DS1,20
Acid rain,Acid rain,,Acid rain,20
Deciduous_woodland,Deciduous_woodland,,Deciduous_woodland,20
drinking water system-finished water,drinking water system-finished water,,drinking water system-finished water,20
BuriedTurfBasal,BuriedTurfBasal,,BuriedTurfBasal,20
intestine-IM,intestine-IM,,intestine-IM,20
open bay,open bay,,open bay,20
Montane mixed forest,Montane mixed forest,,Montane mixed forest,20
2011,2011,,2011,20
2012,2012,,2012,20
Activated Sludge[ENVO:00002046],Activated Sludge[ENVO:00002046],ENVO:00002046,Activated Sludge,20
burial,burial,,burial,20
FMT donor,FMT donor,,FMT donor,20
constructed wetlands,constructed wetlands,,constructed wetlands,20
clover,clover,,clover,20
Marine Surface Coastal Sediments,Marine Surface Coastal Sediments,,Marine Surface Coastal Sediments,20
e-waste contaminated,e-waste contaminated,,e-waste contaminated,20
Compost bacteria,Compost bacteria,,Compost bacteria,20
bare land soil,bare land soil,,bare land soil,20
coasts,coasts,,coasts,20
Cattle manure,Cattle manure,,Cattle manure,20
organic waste material,organic waste material,,organic waste material,20
Cheeses,Cheeses,,Cheeses,20
Bottom of sea-ice cores,Bottom of sea-ice cores,,Bottom of sea-ice cores,20
Dianthus plumarius rhizosphere,Dianthus plumarius rhizosphere,,Dianthus plumarius rhizosphere,20
"application, biochemical role","application, biochemical role",,"application, biochemical role",20
deep water,deep water,,deep water,20
aggregate,aggregate,,aggregate,20
Dianthus plumarius bulk soils,Dianthus plumarius bulk soils,,Dianthus plumarius bulk soils,20
interstitial fluid material,interstitial fluid material,,interstitial fluid material,20
2015 | Pool,2015,,2015,20
2015 | Pool,Pool,,Pool,20
35degree,35degree,,35degree,20
2015 | Riffle,2015,,2015,20
2015 | Riffle,Riffle,,Riffle,20
Cheese sample,Cheese sample,,Cheese sample,20
"intestine environment,fecal environment","intestine environment,fecal environment",,"intestine environment,fecal environment",20
coastal wetland ecosystem; http://purl.obolibrary.org/obo/ENVO_00000230,coastal wetland ecosystem; http://purl.obolibrary.org/obo/ENVO_00000230,ENVO:00000230,coastal wetland ecosystem; http://purl.obolibrary.org/obo/,20
"ENVO:01000892, ENVO:00000114, ENVO:00005755","ENVO:01000892, ENVO:00000114, ENVO:00005755",ENVO:01000892,", ENVO:00000114, ENVO:00005755",20
"ENVO:01000892, ENVO:00000114, ENVO:00005755","ENVO:01000892, ENVO:00000114, ENVO:00005755",ENVO:00000114,"ENVO:01000892,, ENVO:00005755",20
"ENVO:01000892, ENVO:00000114, ENVO:00005755","ENVO:01000892, ENVO:00000114, ENVO:00005755",ENVO:00005755,"ENVO:01000892, ENVO:00000114,",20
laboratory_animal_care,laboratory_animal_care,,laboratory_animal_care,20
culture pool,culture pool,,culture pool,20
feces;Time4,feces;Time4,,feces;Time4,20
mouse intestines,mouse intestines,,mouse intestines,20
birch stand,birch stand,,birch stand,20
Grazed arable field,Grazed arable field,,Grazed arable field,20
blackwater,blackwater,,blackwater,20
enriched SRB culture,enriched SRB culture,,enriched SRB culture,20
fermented rice beverage[FOODON:00001051],fermented rice beverage[FOODON:00001051],,fermented rice beverageFOODON:00001051,20
Drummer silty clay loam,Drummer silty clay loam,,Drummer silty clay loam,20
Halichondria panicea,Halichondria panicea,,Halichondria panicea,20
Deep Chlorophyll Maximum,Deep Chlorophyll Maximum,,Deep Chlorophyll Maximum,20
high temperature and humidity,high temperature and humidity,,high temperature and humidity,20
haemolymphatic fluid,haemolymphatic fluid,,haemolymphatic fluid,20
culture cells,culture cells,,culture cells,20
PCR,PCR,,PCR,20
fermented milk product,fermented milk product,,fermented milk product,20
compost reactor,compost reactor,,compost reactor,20
Marine sponge reef,Marine sponge reef,,Marine sponge reef,20
Bacterial communities from DNA extraction control,Bacterial communities from DNA extraction control,,Bacterial communities from DNA extraction control,20
Geothermal field,Geothermal field,,Geothermal field,20
0.12% chlorhexidine,0.12% chlorhexidine,,0.12% chlorhexidine,20
a municipal sewage treatment plant,a municipal sewage treatment plant,,a municipal sewage treatment plant,20
High Fat Diet,High Fat Diet,,High Fat Diet,20
Facility 3,Facility 3,,Facility 3,20
carbonate rock aquifer,carbonate rock aquifer,,carbonate rock aquifer,20
Intestinal contents of rats,Intestinal contents of rats,,Intestinal contents of rats,20
fermented fish product,fermented fish product,,fermented fish product,20
before scolding,before scolding,,before scolding,20
cDNA,cDNA,,cDNA,20
dry grassland - arable land,dry grassland - arable land,,dry grassland - arable land,20
Nano,Nano,,Nano,20
100 m isobath,100 m isobath,,100 m isobath,20
adult diatom tissue,adult diatom tissue,,adult diatom tissue,20
ENVO:freshwater lake,ENVO:freshwater lake,,ENVO:freshwater lake,20
mangrove swamp: ENVO_00000057,mangrove swamp: ENVO_00000057,ENVO:00000057,mangrove swamp:,20
drying sludge,drying sludge,,drying sludge,20
middle time series of decomposition,middle time series of decomposition,,middle time series of decomposition,20
ENVO:00002269,ENVO:00002269,ENVO:00002269,,20
"endolithic habitat,high pressure habitat,alkaline habitat,haline habitat","endolithic habitat,high pressure habitat,alkaline habitat,haline habitat",,"endolithic habitat,high pressure habitat,alkaline habitat,haline habitat",20
Kipuka,Kipuka,,Kipuka,20
Endiandra wolfei,Endiandra wolfei,,Endiandra wolfei,20
desert [ENVO_01001357],desert [ENVO_01001357],ENVO:01001357,desert,20
9.2 N deposition (kg N ha-1 y-1) ENVO:01001330,9.2 N deposition (kg N ha-1 y-1) ENVO:01001330,ENVO:01001330,9.2 N deposition (kg N ha-1 y-1),20
Bacterial communities from library preparation and sequencing control,Bacterial communities from library preparation and sequencing control,,Bacterial communities from library preparation and sequencing control,20
adult gastropod tissue,adult gastropod tissue,,adult gastropod tissue,20
mediterranean woodland biome [ENVO:01000208],mediterranean woodland biome [ENVO:01000208],ENVO:01000208,mediterranean woodland biome,20
Melanoma NAT,Melanoma NAT,,Melanoma NAT,20
Leaf biome,Leaf biome,,Leaf biome,20
a large shallow freshwater lake in China,a large shallow freshwater lake in China,,a large shallow freshwater lake in China,20
FOREST BIOME MOIST TEMPERATE CONIFEROUS,FOREST BIOME MOIST TEMPERATE CONIFEROUS,,FOREST BIOME MOIST TEMPERATE CONIFEROUS,20
ENVO_00002295,ENVO_00002295,ENVO:00002295,,20
No_treatment,No_treatment,,No_treatment,20
Desert Biome [ENVO:01000179],Desert Biome [ENVO:01000179],ENVO:01000179,Desert Biome,20
Embayment,Embayment,,Embayment,20
ENVO:wetland biome,ENVO:wetland biome,,ENVO:wetland biome,20
mastistic milk,mastistic milk,,mastistic milk,20
marine sediment; http://purl.obolibrary.org/obo/ENVO_03000033,marine sediment; http://purl.obolibrary.org/obo/ENVO_03000033,ENVO:03000033,marine sediment; http://purl.obolibrary.org/obo/,20
20 m isobath,20 m isobath,,20 m isobath,20
"grassland biome [ENVO:01000177], shrubland biome [ENVO:01000176]","grassland biome [ENVO:01000177], shrubland biome [ENVO:01000176]",ENVO:01000177,"grassland biome, shrubland biome [ENVO:01000176]",20
"grassland biome [ENVO:01000177], shrubland biome [ENVO:01000176]","grassland biome [ENVO:01000177], shrubland biome [ENVO:01000176]",ENVO:01000176,"grassland biome [ENVO:01000177], shrubland biome",20
hormone,hormone,,hormone,20
Biofilm on non-woven sheet,Biofilm on non-woven sheet,,Biofilm on non-woven sheet,20
intertidal habitats,intertidal habitats,,intertidal habitats,20
meadow | flower,meadow,,meadow,20
meadow | flower,flower,,flower,20
Coastal lagoon,Coastal lagoon,,Coastal lagoon,20
Lingao,Lingao,,Lingao,20
hard palate [UBERON:0003216],hard palate [UBERON:0003216],,hard palate UBERON:0003216,20
House,House,,House,20
21.4 N deposition (kg N ha-1 y-1) ENVO:01001330,21.4 N deposition (kg N ha-1 y-1) ENVO:01001330,ENVO:01001330,21.4 N deposition (kg N ha-1 y-1),20
Leaf DNA,Leaf DNA,,Leaf DNA,20
aerial tissue,aerial tissue,,aerial tissue,20
fermentation days,fermentation days,,fermentation days,20
Cystic fibrosis lung microbiome,Cystic fibrosis lung microbiome,,Cystic fibrosis lung microbiome,20
carbohydrates,carbohydrates,,carbohydrates,20
brackishwater lake,brackishwater lake,,brackishwater lake,20
local tap water,local tap water,,local tap water,20
mangrove biome: ENVO_01000181,mangrove biome: ENVO_01000181,ENVO:01000181,mangrove biome:,20
feces;Time5,feces;Time5,,feces;Time5,20
Mosue colon,Mosue colon,,Mosue colon,20
Pig breeding area,Pig breeding area,,Pig breeding area,20
acid-mine-drainage,acid-mine-drainage,,acid-mine-drainage,20
blood plasma material,blood plasma material,,blood plasma material,20
aquctic,aquctic,,aquctic,20
filtered-SPM,filtered-SPM,,filtered-SPM,20
Ceratopetalum succirubrum,Ceratopetalum succirubrum,,Ceratopetalum succirubrum,20
Alpine_wetland,Alpine_wetland,,Alpine_wetland,20
inside the vagina,inside the vagina,,inside the vagina,20
Fecal [ENVO_00002003],Fecal [ENVO_00002003],ENVO:00002003,Fecal,20
experiment_start,experiment_start,,experiment_start,20
fecal material of cat,fecal material of cat,,fecal material of cat,20
Knockout-Water,Knockout-Water,,Knockout-Water,20
milk (mammary secretion),milk (mammary secretion),,milk mammary secretion,20
Oak tree panel,Oak tree panel,,Oak tree panel,20
captive population,captive population,,captive population,20
Capsid gene,Capsid gene,,Capsid gene,20
Lakes,Lakes,,Lakes,20
blooming garden,blooming garden,,blooming garden,20
dog oral cavity biome,dog oral cavity biome,,dog oral cavity biome,20
30degree,30degree,,30degree,20
"Copper River delta, AK, RHM pond replicate 2","Copper River delta, AK, RHM pond replicate 2",,"Copper River delta, AK, RHM pond replicate 2",20
Mango trees,Mango trees,,Mango trees,20
laboratory insectary,laboratory insectary,,laboratory insectary,20
mixed plantings of tropical trees,mixed plantings of tropical trees,,mixed plantings of tropical trees,20
Integrated Fixed-film Activated Sludge Wastewater Treatment Plant,Integrated Fixed-film Activated Sludge Wastewater Treatment Plant,,Integrated Fixed-film Activated Sludge Wastewater Treatment Plant,20
Maize epiphytic,Maize epiphytic,,Maize epiphytic,20
bathypelagic zone,bathypelagic zone,,bathypelagic zone,20
Artificial pool,Artificial pool,,Artificial pool,20
normal infant,normal infant,,normal infant,20
abyssalpelagic zone (ENVO:00000212),abyssalpelagic zone (ENVO:00000212),ENVO:00000212,abyssalpelagic zone,20
Metagenome assambled genome of coral reef macroalgae biofilm,Metagenome assambled genome of coral reef macroalgae biofilm,,Metagenome assambled genome of coral reef macroalgae biofilm,20
nestbox,nestbox,,nestbox,20
Marine sediment and plant was from Marshes area as described in the sample description,Marine sediment and plant was from Marshes area as described in the sample description,,Marine sediment and plant was from Marshes area as described in the sample description,20
culture media,culture media,,culture media,20
5xFAD mouse gut,5xFAD mouse gut,,5xFAD mouse gut,20
Herbarium sample,Herbarium sample,,Herbarium sample,20
18.5 N deposition (kg N ha-1 y-1) ENVO:01001330,18.5 N deposition (kg N ha-1 y-1) ENVO:01001330,ENVO:01001330,18.5 N deposition (kg N ha-1 y-1),20
bacteriome and abdomen,bacteriome and abdomen,,bacteriome and abdomen,20
ENVO:00000229,ENVO:00000229,ENVO:00000229,,20
Iron present,Iron present,,Iron present,20
canalisation,canalisation,,canalisation,20
mineral spring biome|water biome,mineral spring biome,,mineral spring biome,20
mineral spring biome|water biome,water biome,,water biome,20
Montane desert,Montane desert,,Montane desert,20
Atlantic subtropical forest,Atlantic subtropical forest,,Atlantic subtropical forest,20
alpine meadow type,alpine meadow type,,alpine meadow type,20
fecal material of kangaroo,fecal material of kangaroo,,fecal material of kangaroo,20
montane meadow biome,montane meadow biome,,montane meadow biome,20
Mouse vaginal metagenome,Mouse vaginal metagenome,,Mouse vaginal metagenome,20
ovenbird eggshell,ovenbird eggshell,,ovenbird eggshell,20
high salt and oily food waste,high salt and oily food waste,,high salt and oily food waste,20
freshwater realm,freshwater realm,,freshwater realm,20
conidia,conidia,,conidia,20
estuary [ENVO:00000045]|tidal mudlflat [ENVO:00000241],estuary [ENVO:00000045],ENVO:00000045,estuary,20
estuary [ENVO:00000045]|tidal mudlflat [ENVO:00000241],tidal mudlflat [ENVO:00000241],ENVO:00000241,tidal mudlflat,20
Below sandy soil,Below sandy soil,,Below sandy soil,20
faecal virome,faecal virome,,faecal virome,20
Distal colon tissue,Distal colon tissue,,Distal colon tissue,20
detention basin,detention basin,,detention basin,20
bodily fluid(ENVO:02000019),bodily fluid(ENVO:02000019),ENVO:02000019,bodily fluid,20
32 degree static laboratory incubation,32 degree static laboratory incubation,,32 degree static laboratory incubation,20
macroalgae biofilm,macroalgae biofilm,,macroalgae biofilm,20
oral cavity microbiome,oral cavity microbiome,,oral cavity microbiome,20
composting affected by ventilation,composting affected by ventilation,,composting affected by ventilation,20
bodily fluid material[ENVO:ENVO:02000019],bodily fluid material[ENVO:ENVO:02000019],ENVO:02000019,bodily fluid material[ENVO:,20
desert sand [ENVO_00005800],desert sand [ENVO_00005800],ENVO:00005800,desert sand,20
filter 4,filter 4,,filter 4,20
PENano,PENano,,PENano,20
human breast,human breast,,human breast,20
Digestive tract [UBERON:0001555],Digestive tract [UBERON:0001555],,Digestive tract UBERON:0001555,20
"Daphnia magna, adult, whole bodies","Daphnia magna, adult, whole bodies",,"Daphnia magna, adult, whole bodies",20
after chilling,after chilling,,after chilling,20
filter 2,filter 2,,filter 2,20
filter 1,filter 1,,filter 1,20
Ireland,Ireland,,Ireland,20
Mouse uterine metagenome,Mouse uterine metagenome,,Mouse uterine metagenome,20
Donggou township,Donggou township,,Donggou township,20
alpine [ENVO:01001835],alpine [ENVO:01001835],ENVO:01001835,alpine,20
Antarctic hypersaline lake,Antarctic hypersaline lake,,Antarctic hypersaline lake,20
FIT tube,FIT tube,,FIT tube,20
Beach Water,Beach Water,,Beach Water,20
Iron-rich microbial mat,Iron-rich microbial mat,,Iron-rich microbial mat,20
bread,bread,,bread,20
Donor,Donor,,Donor,20
70% ethanol,70% ethanol,,70% ethanol,20
AZ_North_I,AZ_North_I,,AZ_North_I,20
Biobarrier,Biobarrier,,Biobarrier,20
Flowthru seawater tanks,Flowthru seawater tanks,,Flowthru seawater tanks,20
ENVO:00000121,ENVO:00000121,ENVO:00000121,,20
Incubated soil at akita in Japan,Incubated soil at akita in Japan,,Incubated soil at akita in Japan,20
kudzu communities,kudzu communities,,kudzu communities,20
Ant hill,Ant hill,,Ant hill,20
after evisceration,after evisceration,,after evisceration,20
after plucking,after plucking,,after plucking,20
leaf matter,leaf matter,,leaf matter,20
Future_salinity,Future_salinity,,Future_salinity,20
ENVO:01000202,ENVO:01000202,ENVO:01000202,,20
aquifer water,aquifer water,,aquifer water,20
Anthropised terrestrial environmental zone [ENVO:01001200],Anthropised terrestrial environmental zone [ENVO:01001200],ENVO:01001200,Anthropised terrestrial environmental zone,20
Gullmar Fjord,Gullmar Fjord,,Gullmar Fjord,20
?Farmers Market,?Farmers Market,,?Farmers Market,20
chlorinated groundwater,chlorinated groundwater,,chlorinated groundwater,20
Atopic skin,Atopic skin,,Atopic skin,20
non-mud area,non-mud area,,non-mud area,20
pine-Douglas Fir forest,pine-Douglas Fir forest,,pine-Douglas Fir forest,20
mined,mined,,mined,20
biogenous sediment(ENVO:01000082),biogenous sediment(ENVO:01000082),ENVO:01000082,biogenous sediment,20
alpine cold-water reservoir,alpine cold-water reservoir,,alpine cold-water reservoir,20
forest fire,forest fire,,forest fire,20
diffuse fluide,diffuse fluide,,diffuse fluide,20
Fish part of Kishu-narezushi,Fish part of Kishu-narezushi,,Fish part of Kishu-narezushi,20
Farming,Farming,,Farming,20
Pacific Coast,Pacific Coast,,Pacific Coast,20
Gallery Forest,Gallery Forest,,Gallery Forest,20
Chromium contaminated soil,Chromium contaminated soil,,Chromium contaminated soil,20
Palouse prairie soil,Palouse prairie soil,,Palouse prairie soil,20
mooring chain links surface biofilm,mooring chain links surface biofilm,,mooring chain links surface biofilm,20
estuarine mud [ENVO:00002160]|saline water [ENVO:00002010],estuarine mud [ENVO:00002160],ENVO:00002160,estuarine mud,20
estuarine mud [ENVO:00002160]|saline water [ENVO:00002010],saline water [ENVO:00002010],ENVO:00002010,saline water,20
ENVO:mixed forest,ENVO:mixed forest,,ENVO:mixed forest,20
Downhole of injection well,Downhole of injection well,,Downhole of injection well,20
biopsy sample,biopsy sample,,biopsy sample,20
edge of cultivated area,edge of cultivated area,,edge of cultivated area,20
countryside avenue,countryside avenue,,countryside avenue,20
breast milk biome,breast milk biome,,breast milk biome,20
chyme ENVO:02000026,chyme ENVO:02000026,ENVO:02000026,chyme,20
coastal sand-dune forest,coastal sand-dune forest,,coastal sand-dune forest,20
Lake sediment [ENVO:00000546],Lake sediment [ENVO:00000546],ENVO:00000546,Lake sediment,20
AirFilter,AirFilter,,AirFilter,20
leaf surface sterilization,leaf surface sterilization,,leaf surface sterilization,20
Cultured Water | Sea water,Cultured Water,,Cultured Water,20
Cultured Water | Sea water,Sea water,,Sea water,20
Bronchoscope,Bronchoscope,,Bronchoscope,20
Bedrail_room_7,Bedrail_room_7,,Bedrail_room_7,20
LY gut,LY gut,,LY gut,20
Cecum tissue,Cecum tissue,,Cecum tissue,20
"mouse facility, day -1","mouse facility, day -1",,"mouse facility, day -1",20
intertidal sediment: ENVO:00002179,intertidal sediment: ENVO:00002179,ENVO:00002179,intertidal sediment:,20
AZ_South_LI,AZ_South_LI,,AZ_South_LI,20
leaf washing,leaf washing,,leaf washing,20
"mouse facility, day +14","mouse facility, day +14",,"mouse facility, day +14",20
Herbicide weeding,Herbicide weeding,,Herbicide weeding,20
earthworm cast from palouse prairie,earthworm cast from palouse prairie,,earthworm cast from palouse prairie,20
methanogenic microbial electrolysis cell,methanogenic microbial electrolysis cell,,methanogenic microbial electrolysis cell,20
Gold mine,Gold mine,,Gold mine,20
[ENVO:00005749],[ENVO:00005749],ENVO:00005749,,20
